searched_role,site,title,company,location,date_posted,salary
AI Engineer,indeed,Senior AI Engineer - Remote,Jitterbit,"TS, IN",2026-06-25,₹4L - ₹8L PA 
AI Engineer,indeed,Senior AI Engineer - Remote,Jitterbit,"HR, IN",2026-06-25,₹4L - ₹8L PA 
AI Engineer,indeed,Senior AI Engineer - Remote,Jitterbit,"KA, IN",2026-06-25,₹4L - ₹8L PA 
AI Engineer,indeed,Senior AI Engineer - Remote,Jitterbit,"DL, IN",2026-06-25,₹4L - ₹8L PA 
AI Engineer,indeed,Senior AI Engineer - Remote,Zudy,"DL, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,Forward Deployed AI Engineer,turing,"MH, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,Senior Site Reliability Engineer - AI Platform,Optum,"KA, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,"Senior Full Stack AI Engineer - UI, AIDLC",Optum,"KA, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,Engineer - Target India,Target,"KA, IN",2026-06-24,₹7L - ₹19L PA 
AI Engineer,indeed,Applied AI ML Associate,JPMorganChase,"KA, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer,NOVNEX CORPORATION,"UP, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,"Senior Engineer - Java + AI Engineer, AVP",Deutsche Bank,"MH, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,GM - AI Lead Engineer,VodafoneZiggo,"MH, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,Lead AI Engineer 4C,Genpact,"UP, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,DE&A - AI Engineer,Zensar Technologies,"KA, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,AI Engineer,Visa,"KA, IN",2026-06-24,₹4L - ₹8L PA 
AI Engineer,indeed,Software Engineer Intern,Electronic Arts,"TS, IN",2026-06-24,₹4L - ₹8L PA 
